r_t,a_t,s_t,s_t_p_1,id_simulation
-1.0,"(0, 1)","(11, 19)","(11, 19)",6
-2.673124823670863,"(2, 2)","(11, 19)","(10, 19)",6
-20.0,"(1, 3)","(10, 19)","(10, 19)",6
-4.671216444525951,"(1, 1)","(10, 19)","(11, 19)",6
-20.0,"(1, 3)","(11, 19)","(11, 19)",6
-1.0,"(0, 3)","(11, 19)","(11, 19)",6
-2.5315484407449493,"(2, 4)","(11, 19)","(11, 18)",6
-1.5570721481753171,"(3, 3)","(11, 18)","(11, 19)",6
-1.7820832157805755,"(3, 2)","(11, 19)","(10, 19)",6
-1.5570721481753171,"(3, 1)","(10, 19)","(11, 19)",6
-1.6876989604966328,"(3, 4)","(11, 19)","(11, 18)",6
-2.3356082222629757,"(2, 3)","(11, 18)","(11, 19)",6
-4.69887495275037,"(1, 1)","(11, 19)","(12, 19)",6
-1.785520154181527,"(2, 1)","(12, 19)","(13, 19)",6
-2.5094297387059314,"(2, 1)","(13, 19)","(14, 19)",6
-1.785520154181527,"(2, 2)","(14, 19)","(13, 19)",6
-1.0,"(0, 3)","(13, 19)","(13, 19)",6
-2.188074594274011,"(3, 4)","(13, 19)","(13, 18)",6
-1.5512509062839757,"(3, 2)","(13, 18)","(12, 18)",6
-1.0,"(0, 2)","(12, 18)","(12, 18)",6
-1.0,"(0, 4)","(12, 18)","(12, 18)",6
-2.3711139511026564,"(2, 4)","(12, 18)","(12, 17)",6
-1.607002587818142,"(3, 1)","(12, 17)","(13, 17)",6
-4.675257449957466,"(1, 1)","(13, 17)","(14, 17)",6
-1.0,"(0, 1)","(14, 17)","(14, 17)",6
-1.0,"(0, 1)","(14, 17)","(14, 17)",6
-1.0,"(0, 1)","(14, 17)","(14, 17)",6
-1.607002587818142,"(3, 2)","(14, 17)","(13, 17)",6
-1.0,"(0, 4)","(13, 17)","(13, 17)",6
-3.2821118914110166,"(2, 3)","(13, 17)","(13, 18)",6
-1.0,"(0, 2)","(13, 18)","(13, 18)",6
-3.571040308363054,"(1, 3)","(13, 18)","(13, 19)",6
-40.0,"(2, 3)","(13, 19)","(13, 19)",6
-1.0,"(0, 4)","(13, 19)","(13, 19)",6
-1.5662916509167901,"(3, 2)","(13, 19)","(12, 19)",6
-3.571040308363054,"(1, 1)","(12, 19)","(13, 19)",6
-5.018859477411863,"(1, 1)","(13, 19)","(14, 19)",6
-1.6386355012681844,"(3, 1)","(14, 19)","(15, 19)",6
-3.700668238937132,"(1, 1)","(15, 19)","(16, 19)",6
-1.8117002968113294,"(3, 1)","(16, 19)","(17, 19)",6
-1.5338484266343444,"(3, 4)","(17, 19)","(17, 18)",6
-4.9987077789836585,"(1, 2)","(17, 18)","(16, 18)",6
-0.9251628910882365,"(3, 1)","(7, 10)","(8, 10)",7
-1.4478056547001572,"(3, 1)","(8, 10)","(9, 10)",7
-1.348588113242018,"(3, 3)","(9, 10)","(9, 11)",7
-1.0,"(0, 1)","(9, 11)","(9, 11)",7
-5.8001614909058725,"(1, 2)","(9, 11)","(8, 11)",7
-4.794819929858281,"(1, 2)","(8, 11)","(7, 11)",7
-2.874360567621574,"(2, 2)","(7, 11)","(6, 11)",7
-1.0,"(0, 1)","(6, 11)","(6, 11)",7
-2.087265611721312,"(2, 2)","(6, 11)","(5, 11)",7
-1.4852010973011944,"(3, 2)","(5, 11)","(4, 11)",7
-1.2494253506394897,"(3, 2)","(4, 11)","(3, 11)",7
-1.0,"(0, 2)","(3, 11)","(3, 11)",7
-4.736775842664584,"(1, 3)","(3, 11)","(3, 12)",7
-2.8724013440056746,"(2, 1)","(3, 12)","(4, 12)",7
-4.736775842664584,"(1, 2)","(4, 12)","(3, 12)",7
-1.2494253506394897,"(3, 4)","(3, 12)","(3, 11)",7
-2.0803754743464453,"(2, 2)","(3, 11)","(2, 11)",7
-3.7548368554709572,"(1, 2)","(2, 11)","(1, 11)",7
-1.0,"(0, 4)","(1, 11)","(1, 11)",7
-4.821273163248297,"(1, 4)","(1, 11)","(1, 10)",7
-5.360845675439647,"(1, 1)","(10, 8)","(11, 8)",8
-5.760540870208843,"(1, 1)","(11, 8)","(12, 8)",8
-1.5505930039276958,"(3, 4)","(12, 8)","(12, 7)",8
-2.2438291229698124,"(3, 4)","(12, 7)","(12, 6)",8
-2.325889505891544,"(2, 3)","(12, 6)","(12, 7)",8
-6.731487368909437,"(1, 4)","(12, 7)","(12, 6)",8
-1.0,"(0, 2)","(12, 6)","(12, 6)",8
-4.651779011783088,"(1, 3)","(12, 6)","(12, 7)",8
-1.0,"(0, 2)","(12, 7)","(12, 7)",8
-6.731487368909437,"(1, 4)","(12, 7)","(12, 6)",8
-1.0,"(0, 1)","(12, 6)","(12, 6)",8
-1.8772764447744832,"(3, 4)","(12, 6)","(12, 5)",8
-2.2438291229698124,"(3, 3)","(12, 5)","(12, 6)",8
-1.0,"(0, 3)","(12, 6)","(12, 6)",8
-4.651779011783088,"(1, 3)","(12, 6)","(12, 7)",8
-1.9201802900696145,"(3, 3)","(12, 7)","(12, 8)",8
-1.1814661182035493,"(3, 1)","(12, 8)","(13, 8)",8
-1.7132582901424251,"(3, 4)","(13, 8)","(13, 7)",8
-4.0355139687742385,"(1, 1)","(13, 7)","(14, 7)",8
